step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
127,1770762897.471238,D1,0.495446793,0.418564189,0.343393384,D2,0.131390594
127,1770762897.471238,D2,0.688234961,0.581435811,0.474783978,D2,0.131390594
128,1770762897.570750,D1,0.495688246,0.418504973,0.344394872,D2,0.131811920
128,1770762897.570750,D2,0.688737933,0.581495027,0.476206792,D2,0.131811920
129,1770762897.661609,D1,0.495968850,0.418577737,0.345383976,D2,0.132225688
129,1770762897.661609,D2,0.688921808,0.581422263,0.477609665,D2,0.132225688
130,1770762897.752810,D1,0.496275588,0.418542202,0.346359419,D2,0.132634887
130,1770762897.752810,D2,0.689448543,0.581457798,0.478994307,D2,0.132634887
131,1770762897.867088,D1,0.496710400,0.418579270,0.347322351,D2,0.133037642
131,1770762897.867088,D2,0.689947507,0.581420730,0.480359992,D2,0.133037642
132,1770762897.957251,D1,0.496936425,0.418524581,0.348271714,D2,0.133436484
132,1770762897.957251,D2,0.690416595,0.581475419,0.481708198,D2,0.133436484
133,1770762898.048567,D1,0.497161240,0.418419166,0.349207013,D2,0.133832820
133,1770762898.048567,D2,0.691028212,0.581580834,0.483039833,D2,0.133832820
134,1770762898.153338,D1,0.497508530,0.418393732,0.350129503,D2,0.134224549
134,1770762898.153338,D2,0.691583209,0.581606268,0.484354052,D2,0.134224549
135,1770762898.249498,D1,0.497725665,0.418267207,0.351038006,D2,0.134614430
135,1770762898.249498,D2,0.692244900,0.581732793,0.485652436,D2,0.134614430
136,1770762898.339204,D1,0.498077326,0.418208940,0.351933618,D2,0.135000666
136,1770762898.339204,D2,0.692899906,0.581791060,0.486934284,D2,0.135000666
137,1770762898.429574,D1,0.498479414,0.418254725,0.352817899,D2,0.135380531
137,1770762898.429574,D2,0.693328792,0.581745275,0.488198430,D2,0.135380531
138,1770762898.524526,D1,0.498811994,0.418328771,0.353691378,D2,0.135753357
138,1770762898.524526,D2,0.693580279,0.581671229,0.489444734,D2,0.135753357
139,1770762898.668097,D1,0.499057903,0.418159590,0.354550954,D2,0.136125723
139,1770762898.668097,D2,0.694404868,0.581840410,0.490676677,D2,0.136125723
140,1770762898.809327,D1,0.499260287,0.418046640,0.355397563,D2,0.136496136
140,1770762898.809327,D2,0.695009058,0.581953360,0.491893699,D2,0.136496136
141,1770762898.947704,D1,0.499495395,0.417957443,0.356231695,D2,0.136863989
141,1770762898.947704,D2,0.695591338,0.582042557,0.493095684,D2,0.136863989
142,1770762899.040023,D1,0.499980844,0.417994552,0.357055200,D2,0.137225948
142,1770762899.040023,D2,0.696161169,0.582005448,0.494281147,D2,0.137225948
143,1770762899.132710,D1,0.500449469,0.418034337,0.357868255,D2,0.137582020
143,1770762899.132710,D2,0.696699723,0.581965663,0.495450274,D2,0.137582020
144,1770762899.222933,D1,0.500985942,0.418129420,0.358671737,D2,0.137930808
144,1770762899.222933,D2,0.697174047,0.581870580,0.496602545,D2,0.137930808
145,1770762899.327296,D1,0.501365343,0.418193870,0.359465365,D2,0.138273227
145,1770762899.327296,D2,0.697517231,0.581806130,0.497738593,D2,0.138273227
146,1770762899.417830,D1,0.501607034,0.418164309,0.360248018,D2,0.138611870
146,1770762899.417830,D2,0.697938271,0.581835691,0.498859887,D2,0.138611870
147,1770762899.507782,D1,0.501948114,0.418181081,0.361020459,D2,0.138945549
147,1770762899.507782,D2,0.698364710,0.581818919,0.499966008,D2,0.138945549
